symbol,date,direction,rsi,macd,start_price,end_price,pct_return,dollar_return
META,2023-03-14,SHORT,76.41901245962157,6.420290917460562,194.02,202.16,-4.026513652552433,-40.26513652552433
LLY,2023-03-10,LONG,34.939216569113,-7.892781555831846,315.02,329.18,4.4949527014158,44.949527014157994
V,2023-02-08,SHORT,72.26011823556156,4.404457626457059,230.2,228.92,0.5591473003669467,5.591473003669467
PG,2023-02-06,LONG,24.606741573033787,-2.347877459079399,141.4,140.07,-0.9405940594059525,-9.405940594059526
HD,2023-03-22,LONG,34.44876008365706,-6.432904017647047,282.61,283.36,0.2653833905381875,2.653833905381875
HD,2023-03-23,LONG,25.221540558963966,-6.365725824262711,283.91,285.36,0.5107252298263587,5.107252298263587
CVX,2023-03-03,LONG,34.72766884531592,-3.135830500654123,164.96,159.67,-3.2068380213385206,-32.068380213385204
CVX,2023-03-07,LONG,32.75072825634622,-2.5685066502263396,164.03,160.76,-1.993537767481568,-19.93537767481568
ABBV,2023-02-08,LONG,31.729055258466857,-3.6934093457159065,144.61,151.06,4.460272456953174,44.60272456953174
TMO,2023-03-07,LONG,34.82920294708646,-5.7942543401766216,548.83,555.96,1.299127234298414,12.99127234298414
PFE,2023-02-03,LONG,22.008862629246693,-1.574178003925141,44.06,43.88,-0.40853381752156137,-4.085338175215614
PFE,2023-02-06,LONG,28.113207547169836,-1.5365312123877217,43.76,43.99,0.5255941499086036,5.2559414990860365
PFE,2023-02-07,LONG,33.94077448747157,-1.5030867892471491,43.59,43.72,0.29823353980269474,2.9823353980269474
PFE,2023-02-09,LONG,33.07839388145317,-1.405092435614101,43.34,42.95,-0.8998615597600401,-8.998615597600402
PFE,2023-02-21,LONG,34.791666666666686,-1.1108126531644231,42.7,40.57,-4.9882903981264715,-49.88290398126472
PFE,2023-02-22,LONG,33.874239350912774,-1.122234712550565,42.38,40.18,-5.191127890514402,-51.911278905144016
PFE,2023-02-23,LONG,28.01724137931022,-1.1247763862855678,42.3,40.62,-3.9716312056737535,-39.716312056737536
PFE,2023-02-24,LONG,26.4765784114052,-1.1578244054650142,41.75,41.15,-1.4371257485029987,-14.371257485029986
PFE,2023-03-06,LONG,23.033707865168495,-1.2937928405037766,41.11,39.86,-3.0406227195329594,-30.406227195329592
PFE,2023-03-14,LONG,27.20588235294113,-1.2909276756163237,39.9,40.66,1.904761904761898,19.04761904761898
PFE,2023-03-15,LONG,32.404181184669014,-1.2102587840673564,40.28,40.01,-0.6703078450844169,-6.703078450844169
NFLX,2023-02-08,SHORT,77.87484984165124,14.029971344726903,366.83,361.42,1.4968734436389797,14.968734436389797
ABT,2023-03-22,LONG,33.69135104578861,-2.403671551300846,96.86,98.62,1.817055544084245,18.17055544084245
ABT,2023-03-23,LONG,26.915887850467314,-2.353852462001612,97.04,99.08,2.1022258862324783,21.022258862324783
WFC,2023-02-15,SHORT,72.04081632653055,1.2829699433318993,47.97,46.25,3.718918918918912,37.18918918918912
PM,2023-03-10,LONG,33.55450236966823,-0.7854782901963091,98.35,94.79,-3.6197254702592607,-36.19725470259261
AMGN,2023-03-07,LONG,34.310476676013266,-5.22986577293986,228.72,230.58,0.8132214060860399,8.132214060860399
AMGN,2023-03-08,LONG,34.911165866943335,-5.386400955860751,228.43,234.9,2.8323775335989065,28.323775335989065
IBM,2023-03-22,LONG,34.99384993849934,-2.5922385469379634,124.05,129.71,4.562676340185412,45.62676340185412
IBM,2023-03-23,LONG,30.683918669131288,-2.605214254566917,123.37,129.22,4.741833508956783,47.41833508956783
HON,2023-03-10,LONG,30.67367415193509,-2.7851713545078667,193.33,184.64,-4.4949050845704335,-44.949050845704335
UPS,2023-03-14,SHORT,70.66014669926649,0.26944174537513277,185.06,186.79,-0.9261737780395074,-9.261737780395073
ELV,2023-01-24,LONG,34.8941056391937,-5.731412268650217,478.52,499.99,4.486750815012952,44.867508150129524
ISRG,2023-03-08,LONG,29.64285714285711,-5.47803610924845,231.09,234.18,1.3371413734908577,13.371413734908577
ISRG,2023-03-09,LONG,31.609013011742277,-5.4642559958821835,228.57,240.5,5.219407621297645,52.19407621297645
ISRG,2023-03-10,LONG,29.225352112676035,-5.695918231895746,224.75,237.8,5.8064516129032295,58.0645161290323
BKNG,2023-02-07,SHORT,84.71281939288045,88.38810938390134,2487.19,2471.05,0.6531636348920511,6.531636348920511
MS,2023-02-13,SHORT,71.4912280701754,2.402245235914947,99.43,97.62,1.8541282524072944,18.541282524072944
MS,2023-02-14,SHORT,74.30830039525688,2.426041817754765,100.56,97.27,3.38233782255577,33.8233782255577
MS,2023-02-15,SHORT,72.71773347324235,2.438577124691875,100.83,97.94,2.950786195629984,29.50786195629984
BLK,2023-03-23,LONG,34.00559399381714,-17.453988364427573,651.78,661.04,1.4207247844364668,14.207247844364668
CB,2023-03-01,LONG,34.66177241740962,-2.809552718341507,209.5,203.37,-2.926014319809067,-29.26014319809067
ADP,2023-03-09,LONG,32.48866913885455,-2.2152913202182845,218.98,215.8,-1.4521874143757274,-14.521874143757273
ADP,2023-03-23,LONG,31.268933019185482,-3.1663917246555684,213.62,219.49,2.7478700496208264,27.478700496208262
EOG,2023-03-07,LONG,30.881974800720002,-2.5377965432594607,118.26,109.2,-7.661085743277529,-76.61085743277529
EOG,2023-03-08,LONG,34.59101382488478,-2.5240143462731055,117.83,101.48,-13.875922939828566,-138.75922939828567
SO,2023-02-03,LONG,34.517766497461906,-0.9006414006894516,67.27,66.88,-0.5797532332391886,-5.797532332391886
CI,2023-01-23,LONG,34.35957696827262,-2.8996057672835036,308.17,310.36,0.7106467209657019,7.106467209657019
CI,2023-02-21,LONG,27.07617700545569,-3.8796076581662646,293.98,292.1,-0.63949928566569,-6.3949928566569
CI,2023-02-22,LONG,30.484693877551067,-3.8668267837024928,294.92,288.75,-2.092092770920928,-20.92092770920928
CI,2023-03-22,LONG,32.86713286713288,-7.014185360410806,270.44,254.03,-6.067889365478473,-60.67889365478473
PANW,2023-03-13,SHORT,72.06872533085672,7.112823179910237,185.9,189.43,-1.8634851924193674,-18.634851924193676
SLB,2023-01-25,SHORT,70.62556663644604,1.2578787627734584,56.25,55.7,0.9874326750448859,9.874326750448859
SLB,2023-01-26,SHORT,71.27659574468083,1.2761239722452942,57.47,52.29,9.906291834002667,99.06291834002667
